comp_name,comp_type,comp_size,region,city,Salary,contract,exper,gender
شركة مقر العالم للسفريات,Private company,Medium class A,Riyadh,AR RIYADH...,5000,Full Time,0,both
شركة عالم الكهرباء للمقاولات,Private company,Medium class B,almintaqat alsharqia,AD DAMMAM...,5000,Full Time,0,both
شركه دار السلام,Private company,Medium class A,Riyadh,ATH THUMA...,4000,Full Time,2,both
مؤسسة لمكو لغيار الزيوت,Private company,Small class B,almintaqat alsharqia,AL HUFUF...,5000,Full Time,0,M
مؤسسة فكرة اليمامة للمقاولات,Private company,Great,Riyadh,AR RIYADH...,5000,Full Time,0,both
مطاعم تراث الدمشقية للوجبات السريعة,Private company,Small class B,Riyadh,AR RIYADH...,4500,Remote work,0,both
شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,Private company,Small class A,Riyadh,AR RIYADH...,6000,Full Time,4,F
شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,Private company,Small class A,Riyadh,AR RIYADH...,8000,Full Time,4,F
شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,Private company,Small class A,Riyadh,AR RIYADH...,10000,Full Time,2,F
شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,Private company,Small class A,Riyadh,AR RIYADH...,5000,Full Time,4,F
شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,Private company,Small class A,Riyadh,AR RIYADH...,8000,Full Time,0,both
شركة بيت قطن للتجارة شركة شخص واحد,Private company,Medium class A,almintaqat alsharqia,AL BATALI...,4000,Full Time,0,both
شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,Private company,Small class A,Riyadh,AR RIYADH...,8000,Full Time,0,both
مؤسسة عبر السوق لتقنية المعلومات,Private company,Small class A,makkah,JEDDAH...,6000,Full Time,2,F
مكتب مدارات للاستشارات الهندسية,Private company,Medium class B,Hail,HAIL...,7000,Full Time,4,M
مكتب مدارات للاستشارات الهندسية,Private company,Medium class B,Hail,HAIL...,3000,Full Time,2,M
مكتب مدارات للاستشارات الهندسية,Private company,Medium class B,Hail,HAIL...,9000,Full Time,4,M
مكتب مدارات للاستشارات الهندسية,Private company,Medium class B,Hail,HAIL...,12000,Full Time,10,M
شركة إرتقاء المتحدة لاجهزة السلامة,Private company,Small class A,makkah,JEDDAH...,4000,Full Time,2,F
شركة الغدير الدوليه للتسويق,Private company,Small class A,makkah,MAKKAH AL...,5500,Full Time,0,F
شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,Private company,Medium class B,Riyadh,AR RIYADH...,5000,Full Time,0,F
شركة الحبيب للتجارة والتعهدات التجارية المحدودة,Private company,Giant,makkah,MAKKAH AL...,8400,Full Time,2,M
شركة خدمات للوقود,Private company,Small class B,Riyadh,AR RIYADH...,4500,Full Time,2,F
شركة الذهبيه الهندسيه للمقاولات (شركة شخص واحد),Private company,Medium class C,Riyadh,AR RIYADH...,6000,Full Time,2,both
مؤسسة سلاسل بابل للمقاولات,Private company,Small class B,makkah,GHITHAH...,4000,Full Time,0,F
ورشة اضواء المشاعل للحدادة والالمنيوم,Private company,Small class A,almadinat almunawara,AL MADINA...,4000,Full Time,0,M
مؤسسة اتجاهات النجاح للمقاولات,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,0,F
شركة عبدالرؤف عبدالوهاب العيد للاستشارات المهنية,Private company,Small class A,Riyadh,ABA ASLAB...,6000,Full Time,2,F
شركة كاف الرقمية للدعاية والاعلان,Private company,Small class A,Riyadh,AR RIYADH...,4500,Full Time,4,M
شركة صندوق الرقمي للاتصالات و تقنية المعلومات,Private company,Small class B,Riyadh,AR RIYADH...,5500,Full Time,0,both
مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,Private company,Small class B,Riyadh,AR RIYADH...,8000,Full Time,2,F
مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,Private company,Small class B,Riyadh,AR RIYADH...,6400,Full Time,0,F
مصنع الاعشاب الشرقية للصناعة,Private company,Small class A,almintaqat alsharqia,AD DAMMAM...,6000,Full Time,4,M
شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,Private company,Small class A,almadinat almunawara,AL MADINA...,7000,Full Time,4,M
شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,Private company,Small class A,almadinat almunawara,AL MADINA...,7000,Full Time,4,M
شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,Private company,Small class A,almadinat almunawara,AL MADINA...,7000,Full Time,4,M
شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,Private company,Small class A,almadinat almunawara,AL MADINA...,4500,Full Time,0,M
شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,Private company,Small class A,almadinat almunawara,AL MADINA...,4500,Full Time,0,M
مؤسسة سلطان عبدالله صويلح المطيرى للمقاولات,Private company,Small class B,almadinat almunawara,YANBU...,4000,Full Time,0,M
حلاق ديوان الدانه للحلاقة,Private company,Small class A,almintaqat alsharqia,AD DAMMAM...,4500,Full Time,2,both
شركة الزي للتجارة,Private company,Medium class A,almintaqat alsharqia,DHAHRAN...,4500,Full Time,2,both
مجمع الرائعه الاقتصاديه التجاري,Private company,Small class A,Al-Baha,AL AQIQ...,4000,Full Time,0,F
فندق قصر الواحة الفندقية,Private company,Small class B,Riyadh,AR RIYADH...,4500,Full Time,2,both
شركـة مجموعة المساع المحدودة,Private company,Small class A,makkah,JEDDAH...,5000,Full Time,2,both
شركة مصدر الحياة للصناعات الغذائية,Private company,Great,Riyadh,AR RIYADH...,5500,Full Time,0,both
شركة الرهدن,Private company,Great,almintaqat alsharqia,AD DAMMAM...,4500,Full Time,0,both
شركة متاجر رمانة التجارية,Private company,Medium class A,Riyadh,ABA ASLAB...,4500,Full Time,0,M
شركة مطعم بيت الشاورما لتقديم الوجبات,Private company,Medium class C,Riyadh,AR RIYADH...,4000,Full Time,0,M
شركة أطياب غناتي التجارية,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,2,F
شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,Private company,Medium class B,Riyadh,AR RIYADH...,5000,Full Time,0,F
شركة بروج للكابلات,Private company,Small class A,Riyadh,AR RIYADH...,6000,Full Time,2,both
شركة المشروبات والاطعمة الغذائية,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
شركة مصنع الجواد للبلاستيك والتغليف المرن,Private company,Medium class C,almintaqat alsharqia,AL UYUN...,4570,Full Time,0,both
مدارس  الأختيار الاول الاهلية,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,F
شركة جبو رية للحلويات,Private company,Medium class B,Riyadh,AR RIYADH...,4500,Full Time,0,M
شركة مجموعة زيد الحسين واخوانة للمقاولات,Private company,Giant,Riyadh,AR RIYADH...,5500,Full Time,0,both
مؤسسة فراج فهد بن فراج المخاريم الدوسري للمقاولات,Private company,Small class A,Riyadh,WADI AD D...,6000,Full Time,0,F
شركة مجمع الرحمة الطبي,Private company,Medium class A,Riyadh,AR RIYADH...,4000,Full Time,2,F
شركة رتاج المسكن المحدودة (شركة شخص واحد),Private company,Small class A,Riyadh,AR RIYADH...,4000,Full Time,0,both
شركة بوابة الفرسان للتصميم,Private company,Small class B,Riyadh,AR RIYADH...,4500,Full Time,0,F
مقهى الفصل الخامس لتقديم المشروبات,Private company,Small class B,Asir,TANUMAH...,4500,Full Time,0,M
مؤسسة دكان مخمل التجارية,Private company,Small class B,Al-Qassim,BURAYDAH...,4000,Full Time,0,both
مؤسسة دكان مخمل التجارية,Private company,Small class B,Al-Qassim,BURAYDAH...,4000,Full Time,0,both
شركة ماس الدولية للمقاولات شركة شخص واحد,Private company,Medium class A,Riyadh,AR RIYADH...,5500,Full Time,2,M
بنتي للتجارة,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
بنتي للتجارة,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
بنتي للتجارة,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,2,both
بنتي للتجارة,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
بنتي للتجارة,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
بنتي للتجارة,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
بنتي للتجارة,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
مؤسسة مرميس للمقاولات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,M
شركة زهرة الصحراء للخدمات اللوجستية,Private company,Small class A,Riyadh,AR RIYADH...,7000,Full Time,0,M
محل عبدالرحمن عوظه عبدالله الشهراني التجارية,Private company,Small class A,Asir,BISHAH...,6000,Full Time,0,M
مركز مناهل ديرتي لتجارة الجملة و التجزئة,Private company,Small class B,makkah,MAKKAH AL...,4000,Full Time,0,M
شركة الوصفات المختلفة التجارية,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
مؤسسة خالد فيحان نايف النفيعي العقاري,Private company,Small class A,makkah,AL HAWIYA...,4000,Full Time,0,F
شركة نيرا الطبية,Private company,Small class B,Riyadh,AR RIYADH...,7000,Full Time,0,both
شركة حلال العالمي للتدريب,Private company,Small class A,Riyadh,AR RIYADH...,5000,Full Time,0,M
مؤسسة دعائم التقنية للحاسب الالي,Private company,Small class B,Riyadh,ABA ASLAB...,6000,Full Time,0,F
شركة شبلا للحراسات الامنية شركة شخص واحد,Private company,Great,Riyadh,ABA ASLAB...,3640,Full Time,0,M
شركة العلاج البديل الطبية,Private company,Small class B,makkah,JEDDAH...,8000,Full Time,4,both
مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,Private company,Small class B,makkah,JEDDAH...,8000,Full Time,7,both
مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,Private company,Small class B,makkah,JEDDAH...,5000,Full Time,0,both
مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,both
